1635901,1,10,,,,CONCEPT: The International Standard Classification of Occupations (ISCO-08) is an international classification managed by the International Labour Organisation (ILO). It is a revision of the ISCO-88, which it supersedes. ISCO-08 is a tool for organizing jobs into a clearly defined set of groups according to the tasks and duties undertaken in the job. ISCO-08 has been developed to facilitate international comparisons of occupational statistics and to serve as a model for countries developing or revising their national occupational classifications. The framework used for the design and construction of ISCO-08 is based on two main concepts: the concept of job, and the concept of skill. A job is defined in ISCO-08 as “a set of tasks and duties performed, or meant to be performed, by one person, including for an employer or in self-employment”. Occupation refers to the kind of work performed in a job. The concept of occupation is defined as a “set of jobs whose main tasks and duties are characterized by a high degree of similarity”. A person may be associated with an occupation through the main job currently held, a second job, a future job or a job previously held. Skill is defined as the ability to carry out the tasks and duties of a given job. For the purposes of ISCO-08, two dimensions of skills are used to arrange occupations into two groups: (a) Skill level is defined as a function of the complexity and range of tasks and duties to be performed in an occupation and (b) skill specialization is considered in terms of four concepts: the field of knowledge required, the tools and machinery used, the materials worked on or with and the kinds of goods and services produced.
1635902,1,20,,TOTAL,,Total
1635903,1,30,,OC1-5,,Non manual workers
1635904,1,40,,OC1-3,,Managers, professionals, technicians and associate professionals
1635905,1,50,,OC1,,Managers
1635906,2,60,50,OC11,OC1,Chief executives, senior officials and legislators
1635907,3,70,60,OC111,OC11,Legislators and senior officials
1635908,4,80,70,OC1111,OC111,Legislators
1635909,4,90,70,OC1112,OC111,Senior government officials
1635910,4,100,70,OC1113,OC111,Traditional chiefs and heads of village
1635911,4,110,70,OC1114,OC111,Senior officials of special-interest organizations
1635912,3,120,60,OC112,OC11,Managing directors and chief executives
1635913,4,130,120,OC1120,OC112,Managing directors and chief executives
1635914,2,140,50,OC12,OC1,Administrative and commercial managers
1635915,3,150,140,OC121,OC12,Business services and administration managers
1635916,4,160,150,OC1211,OC121,Finance managers
1635917,4,170,150,OC1212,OC121,Human resource managers
1635918,4,180,150,OC1213,OC121,Policy and planning managers
1635919,4,190,150,OC1219,OC121,Business services and administration managers not elsewhere classified
1635920,3,200,140,OC122,OC12,Sales, marketing and development managers
1635921,4,210,200,OC1221,OC122,Sales and marketing managers
1635922,4,220,200,OC1222,OC122,Advertising and public relations managers
1635923,4,230,200,OC1223,OC122,Research and development managers
1635924,2,240,50,OC13,OC1,Production and specialised services managers
1635925,3,250,240,OC131,OC13,Production managers in agriculture, forestry and fisheries
1635926,4,260,250,OC1311,OC131,Agricultural and forestry production managers
1635927,4,270,250,OC1312,OC131,Aquaculture and fisheries production managers
1635928,3,280,240,OC132,OC13,Manufacturing, mining, construction, and distribution managers
1635929,4,290,280,OC1321,OC132,Manufacturing managers
1635930,4,300,280,OC1322,OC132,Mining managers
1635931,4,310,280,OC1323,OC132,Construction managers
1635932,4,320,280,OC1324,OC132,Supply, distribution and related managers
1635933,3,330,240,OC133,OC13,Information and communications technology service managers
1635934,4,340,330,OC1330,OC133,Information and communications technology service managers
1635935,3,350,240,OC134,OC13,Professional services managers
1635936,4,360,350,OC1341,OC134,Child care services managers
1635937,4,370,350,OC1342,OC134,Health services managers
1635938,4,380,350,OC1343,OC134,Aged care services managers
1635939,4,390,350,OC1344,OC134,Social welfare managers
1635940,4,400,350,OC1345,OC134,Education managers
1635941,4,410,350,OC1346,OC134,Financial and insurance services branch managers
1635942,4,420,350,OC1349,OC134,Professional services managers not elsewhere classified
1635943,2,430,50,OC14,OC1,Hospitality, retail and other services managers
1635944,3,440,430,OC141,OC14,Hotel and restaurant managers
1635945,4,450,440,OC1411,OC141,Hotel managers
1635946,4,460,440,OC1412,OC141,Restaurant managers
1635947,3,470,430,OC142,OC14,Retail and wholesale trade managers
1635948,4,480,470,OC1420,OC142,Retail and wholesale trade managers
1635949,3,490,430,OC143,OC14,Other services managers
1635950,4,500,490,OC1431,OC143,Sports, recreation and cultural centre managers
1635951,4,510,490,OC1439,OC143,Services managers not elsewhere classified
1635952,1,520,,OC2,,Professionals
1635953,2,530,520,OC21,OC2,Science and engineering professionals
1635954,3,540,530,OC211,OC21,Physical and earth science professionals
1635955,4,550,540,OC2111,OC211,Physicists and astronomers
1635956,4,560,540,OC2112,OC211,Meteorologists
1635957,4,570,540,OC2113,OC211,Chemists
1635958,4,580,540,OC2114,OC211,Geologists and geophysicists
1635959,3,590,530,OC212,OC21,Mathematicians, actuaries and statisticians
1635960,4,600,590,OC2120,OC212,Mathematicians, actuaries and statisticians
1635961,3,610,530,OC213,OC21,Life science professionals
1635962,4,620,610,OC2131,OC213,Biologists, botanists, zoologists and related professionals
1635963,4,630,610,OC2132,OC213,Farming, forestry and fisheries advisers
1635964,4,640,610,OC2133,OC213,Environmental protection professionals
1635965,3,650,530,OC214,OC21,Engineering professionals (excluding electrotechnology)
1635966,4,660,650,OC2141,OC214,Industrial and production engineers
1635967,4,670,650,OC2142,OC214,Civil engineers
1635968,4,680,650,OC2143,OC214,Environmental engineers
1635969,4,690,650,OC2144,OC214,Mechanical engineers
